Date,Open,High,Low,Close,Adj Close,Volume
2021-12-02,8.580000,8.770000,8.540000,8.750000,8.623294,2848400
2021-12-03,8.700000,8.720000,8.530000,8.590000,8.465611,1443300
2021-12-06,8.430000,8.480000,8.340000,8.450000,8.327638,1081800
2021-12-07,8.530000,8.760000,8.530000,8.720000,8.593728,3381600
2021-12-08,8.730000,8.830000,8.710000,8.760000,8.633150,1362500
2021-12-09,8.760000,8.780000,8.700000,8.710000,8.583875,1076200
2021-12-10,8.650000,8.730000,8.650000,8.670000,8.544453,1608500
2021-12-13,8.660000,8.740000,8.650000,8.650000,8.524741,1144900
2021-12-14,8.560000,8.660000,8.550000,8.620000,8.495176,1937900
2021-12-15,8.550000,8.680000,8.500000,8.670000,8.544453,1181900
2021-12-16,8.770000,9.010000,8.750000,8.810000,8.682425,2718000
2021-12-17,8.930000,9.070000,8.910000,9.010000,8.879529,2690900
2021-12-20,8.910000,9.020000,8.850000,9.010000,8.879529,1805300
2021-12-21,9.210000,9.310000,9.170000,9.300000,9.165330,1525600
2021-12-22,9.240000,9.420000,9.240000,9.410000,9.273737,1740600
2021-12-23,9.450000,9.480000,9.420000,9.450000,9.313158,1192900
2021-12-27,9.510000,9.640000,9.510000,9.640000,9.500407,783400
2021-12-28,9.660000,9.670000,9.600000,9.630000,9.490552,705600
2021-12-29,9.620000,9.680000,9.600000,9.680000,9.539827,586600
2021-12-30,9.800000,9.860000,9.760000,9.760000,9.618669,953800
2021-12-31,9.730000,9.790000,9.730000,9.760000,9.618669,600800
2022-01-03,9.800000,9.850000,9.710000,9.750000,9.608813,1245000
2022-01-04,9.800000,9.800000,9.730000,9.770000,9.628524,1937200
2022-01-05,9.710000,9.760000,9.510000,9.510000,9.372289,1748400
2022-01-06,9.510000,9.660000,9.490000,9.550000,9.411709,2266200
2022-01-07,9.630000,9.660000,9.550000,9.610000,9.470840,2287800
2022-01-10,9.310000,9.390000,9.260000,9.370000,9.234316,2009700
2022-01-11,9.390000,9.530000,9.360000,9.510000,9.372289,2206300
2022-01-12,8.800000,8.930000,8.560000,8.700000,8.574018,8153500
2022-01-13,8.670000,8.880000,8.600000,8.630000,8.505033,5517900
2022-01-14,8.520000,8.620000,8.470000,8.580000,8.455756,4875800
2022-01-18,8.430000,8.450000,8.360000,8.380000,8.258652,4486400
2022-01-19,8.290000,8.320000,8.200000,8.240000,8.120679,5283600
